Infra Disposition,SKUAzure,SKUAWS,SKU GCP,On Prem Datbase Name,AWS Database Name,AWS Database instance,Azure Database Name,Azure database instance,GCP database Name,GCP Database Instance
Refactor / Rearchitect,A0,a1.2xlarge,e2-highcpu-1,MYSQL,Any,db.m2.4xlarge,Advanced Data Security,A0,Cloud SQL for MySQL,db-n1-highmem-16
Rehost,A1,a1.4xlarge,e2-highcpu-16,,Aurora MySQL,db.m3.2xlarge,API Management,A1,Cloud SQL for PostgreSQL,db-n1-highmem-2
Replatform,A1 v2,a1.medium,e2-highcpu-2,,Aurora PostgreSQL,db.m3.large,Application Gateway,A1 v2,,db-n1-highmem-32
Repurchase (Move to SaaS),A2,a1.metal,e2-highcpu-32,,MariaDB,db.m3.medium,Application Insights,A2,,db-n1-highmem-4
Retain,A2 v2,a1.xlarge,e2-highcpu-4,,MySQL,db.m3.xlarge,Azure Active Directory B2C,A2 v2,,db-n1-highmem-64
Retire,A2m v2,c1.xlarge,e2-highcpu-64,,Oracle,db.m4.10xlarge,Azure Analysis Services,A2m v2,,db-n1-highmem-8
,A3,c3.2xlarge,e2-highcpu-8,,PostgreSQL,db.m4.16xlarge,Azure API for FHIR,A3,,db-n1-highmem-96
,A4,c3.4xlarge,e2-highcpu-96,,SQL Server,db.m4.2xlarge,Azure App Service,A4,,db-n1-standard-1
,A4 v2,c3.large,e2-highmem-1,,,db.m4.4xlarge,Azure Blockchain,A4 v2,,db-n1-standard-16
,A4m v2,c3.xlarge,e2-highmem-16,,,db.m4.large,Azure Cosmos DB,A4m v2,,db-n1-standard-2
,A5,c4.4xlarge,e2-highmem-2,,,db.m4.xlarge,Azure Data Factory v2,A5,,db-n1-standard-32
,A6,c4.8xlarge,e2-highmem-32,,,db.m5.12xlarge,Azure Database for MariaDB,A6,,db-n1-standard-4
,A7,c4.large,e2-highmem-4,,,db.m5.16xlarge,Azure Database for MySQL,A7,,db-n1-standard-64
,A8 v2,c4.xlarge,e2-highmem-64,,,db.m5.24xlarge,Azure Database for PostgreSQL,A8 v2,,db-n1-standard-8
,A8m v2,c5.12xlarge,e2-highmem-8,,,db.m5.2xlarge,Azure Database Migration Service,A8m v2,,db-n1-standard-96
,A9,c5.18xlarge,e2-highmem-96,,,db.m5.4xlarge,Azure Databricks,A9,,
,B12ms,c5.24xlarge,e2-standard-1,,,db.m5.8xlarge,Azure DDOS Protection,B12ms,,
,B16ms,c5.2xlarge,e2-standard-16,,,db.m5.large,Azure DNS,B16ms,,
,B1ls,c5.4xlarge,e2-standard-2,,,db.m5.xlarge,Azure Front Door Service,B1ls,,
,B1ms,c5.9xlarge,e2-standard-32,,,db.m6g.12xlarge,Azure Machine Learning,B1ms,,
,B1s,c5.large,e2-standard-4,,,db.m6g.16xlarge,Azure Maps,B1s,,
,B20ms,c5.metal,e2-standard-64,,,db.m6g.2xlarge,Azure Monitor,B20ms,,
,B2ms,c5.xlarge,e2-standard-8,,,db.m6g.4xlarge,Azure NetApp Files,B2ms,,
,B2s,c5a.12xlarge,e2-standard-96,,,db.m6g.8xlarge,Azure Spring Cloud,B2s,,
,B4ms,c5a.16xlarge,n1-highcpu-1,,,db.m6g.xlarge,Azure Synapse Analytics,B4ms,,
,B8ms,c5a.24xlarge,n1-highcpu-16,,,db.r3.2xlarge,Backup,B8ms,,
,D16s v3,c5a.2xlarge,n1-highcpu-2,,,db.r3.4xlarge,Bandwidth,D16s v3,,
,D2s v3,c5a.4xlarge,n1-highcpu-32,,,db.r3.8xlarge,Cloud Services,D2s v3,,
,D32as v4,c5a.8xlarge,n1-highcpu-4,,,db.r3.large,Cognitive Services,D32as v4,,
,D32s v3,c5a.large,n1-highcpu-64,,,db.r3.xlarge,Container Registry,D32s v3,,
,D48as v4,c5a.xlarge,n1-highcpu-8,,,db.r4.16xlarge,Content Delivery Network,D48as v4,,
,D48s v3,c5ad.12xlarge,n1-highcpu-96,,,db.r4.2xlarge,Data Box,D48s v3,,
,D4s v3,c5ad.16xlarge,n1-highmem-1,,,db.r4.4xlarge,Data Lake Analytics,D4s v3,,
,D64as v4,c5ad.24xlarge,n1-highmem-16,,,db.r4.8xlarge,Data Lake Store,D64as v4,,
,D64s v3,c5ad.8xlarge,n1-highmem-2,,,db.r4.large,Event Hubs,D64s v3,,
,D8as v4,c5ad.large,n1-highmem-32,,,db.r4.xlarge,ExpressRoute,D8as v4,,
,D8s v3,c5ad.xlarge,n1-highmem-4,,,db.r5.12xlarge,Functions,D8s v3,,
,DC2s,c5d.12xlarge,n1-highmem-64,,,db.r5.16xlarge,HDInsight,DC2s,,
,DS1,c5d.18xlarge,n1-highmem-8,,,db.r5.24xlarge,IoT Central,DS1,,
,DS1 v2,c5d.24xlarge,n1-highmem-96,,,db.r5.2xlarge,IoT Hub,DS1 v2,,
,DS11,c5d.2xlarge,n1-standard-1,,,db.r5.4xlarge,Load Balancer,DS11,,
,DS11 v2,c5d.4xlarge,n1-standard-16,,,db.r5.8xlarge,Log Analytics,DS11 v2,,
,DS11 v2 - Expired,c5d.9xlarge,n1-standard-2,,,db.r5.large,Logic Apps,DS11 v2 - Expired,,
,DS12,c5d.large,n1-standard-32,,,db.r5.xlarge,Machine Learning Studio,DS12,,
,DS12 v2,c5d.metal,n1-standard-4,,,db.r6g.12xlarge,Media Services,DS12 v2,,
,DS12 v2 - Expired,c5d.xlarge,n1-standard-64,,,db.r6g.16xlarge,Power BI,DS12 v2 - Expired,,
,DS13,c5n.18xlarge,n1-standard-8,,,db.r6g.2xlarge,Power BI Embedded,DS13,,
,DS13 v2,c5n.2xlarge,n1-standard-96,,,db.r6g.4xlarge,Redis Cache,DS13 v2,,
,DS13 v2 - Expired,c5n.4xlarge,n2d-highcpu-1,,,db.r6g.8xlarge,Sentinel,DS13 v2 - Expired,,
,DS14,c5n.9xlarge,n2d-highcpu-16,,,db.r6g.large,Service Bus,DS14,,
,DS14 v2,c5n.large,n2d-highcpu-2,,,db.r6g.xlarge,Service Fabric Mesh,DS14 v2,,
,DS14 v2 - Expired,c5n.metal,n2d-highcpu-32,,,db.t2.2xlarge,Specialized Compute,DS14 v2 - Expired,,
,DS15 v2,c5n.xlarge,n2d-highcpu-4,,,db.t2.large,SQL Data Warehouse,DS15 v2,,
,DS15i v2,c6g.12xlarge,n2d-highcpu-64,,,db.t2.medium,SQL Database,DS15i v2,,
,DS2,c6g.16xlarge,n2d-highcpu-8,,,db.t2.micro,Storage,DS2,,
,DS2 v2,c6g.4xlarge,n2d-highcpu-96,,,db.t2.small,Stream Analytics,DS2 v2,,
,DS2 v2 - Expired,c6g.8xlarge,n2d-highmem-1,,,db.t2.xlarge,Time Series Insights,DS2 v2 - Expired,,
,DS3,c6g.large,n2d-highmem-16,,,db.t3.2xlarge,Traffic Manager,DS3,,
,DS3 v2,c6g.medium,n2d-highmem-2,,,db.t3.large,Virtual Machines Licenses,DS3 v2,,
,DS3 v2 - Expired,c6g.metal,n2d-highmem-32,,,db.t3.medium,Virtual Network,DS3 v2 - Expired,,
,DS4,c6g.xlarge,n2d-highmem-4,,,db.t3.micro,Visual Studio Subscription,DS4,,
,DS4 v2,c6gd.12xlarge,n2d-highmem-64,,,db.t3.small,VPN Gateway,DS4 v2,,
,DS4 v2 - Expired,c6gd.16xlarge,n2d-highmem-8,,,db.t3.xlarge,Windows 10 IoT Core Services,DS4 v2 - Expired,,
,DS5 v2,c6gd.2xlarge,n2d-highmem-96,,,db.x1.16xlarge,,DS5 v2,,
,DS5 v2 - Expired,c6gd.4xlarge,n2d-standard-1,,,db.x1.32xlarge,,DS5 v2 - Expired,,
,Dsv3 Type1,c6gd.large,n2d-standard-16,,,db.x1e.16xlarge,,Dsv3 Type1,,
,E16s v3,c6gd.medium,n2d-standard-2,,,db.x1e.2xlarge,,E16s v3,,
,E20as v4,c6gd.metal,n2d-standard-32,,,db.x1e.32xlarge,,E20as v4,,
,E20s v3,c6gd.xlarge,n2d-standard-4,,,db.x1e.4xlarge,,E20s v3,,
,E2as v4,cr1.8xlarge,n2d-standard-64,,,db.x1e.8xlarge,,E2as v4,,
,E2s v3,d2.2xlarge,n2d-standard-8,,,db.x1e.xlarge,,E2s v3,,
,E32as v4,d2.4xlarge,n2d-standard-96,,,db.z1d.12xlarge,,E32as v4,,
,E32s v3,d2.8xlarge,n2-highcpu-1,,,db.z1d.2xlarge,,E32s v3,,
,E48s v3,d2.xlarge,n2-highcpu-16,,,db.z1d.3xlarge,,E48s v3,,
,E4s v3,f1.2xlarge,n2-highcpu-2,,,db.z1d.6xlarge,,E4s v3,,
,E64as v4,f1.4xlarge,n2-highcpu-32,,,db.z1d.large,,E64as v4,,
,E64is v3,g2.2xlarge,n2-highcpu-4,,,db.z1d.xlarge,,E64is v3,,
,E64s v3,g2.8xlarge,n2-highcpu-64,,,,,E64s v3,,
,E8s v3,g3.16xlarge,n2-highcpu-8,,,,,E8s v3,,
,Esv3 Type1,g3.4xlarge,n2-highcpu-96,,,,,Esv3 Type1,,
,F16s,g3.8xlarge,n2-highmem-1,,,,,F16s,,
,F16s v2,g3s.xlarge,n2-highmem-16,,,,,F16s v2,,
,F1s,g4dn.12xlarge,n2-highmem-2,,,,,F1s,,
,F2s,g4dn.16xlarge,n2-highmem-32,,,,,F2s,,
,F2s v2,g4dn.2xlarge,n2-highmem-4,,,,,F2s v2,,
,F32s v2,g4dn.4xlarge,n2-highmem-64,,,,,F32s v2,,
,F48s v2,g4dn.8xlarge,n2-highmem-8,,,,,F48s v2,,
,F4s,g4dn.metal,n2-highmem-96,,,,,F4s,,
,F4s v2,g4dn.xlarge,n2-standard-1,,,,,F4s v2,,
,F64s v2,h1.2xlarge,n2-standard-16,,,,,F64s v2,,
,F72s v2,hs1.8xlarge,n2-standard-2,,,,,F72s v2,,
,F8s,i2.2xlarge,n2-standard-32,,,,,F8s,,
,F8s v2,i2.4xlarge,n2-standard-4,,,,,F8s v2,,
,Fsv2 Type2,i2.8xlarge,n2-standard-64,,,,,Fsv2 Type2,,
,GS1,i2.xlarge,n2-standard-8,,,,,GS1,,
,GS2,i3.16xlarge,n2-standard-96,,,,,GS2,,
,GS3,i3.2xlarge,,,,,,GS3,,
,GS4,i3.4xlarge,,,,,,GS4,,
,GS5,i3.8xlarge,,,,,,GS5,,
,H16,i3.large,,,,,,H16,,
,H16m,i3.metal,,,,,,H16m,,
,H16mr,i3.xlarge,,,,,,H16mr,,
,H16r,i3en.12xlarge,,,,,,H16r,,
,H8,i3en.24xlarge,,,,,,H8,,
,H8m,i3en.3xlarge,,,,,,H8m,,
,HC44rs,i3en.6xlarge,,,,,,HC44rs,,
,L16s,i3en.large,,,,,,L16s,,
,L32s,i3en.metal,,,,,,L32s,,
,L48s v2,i3en.xlarge,,,,,,L48s v2,,
,L80s v2,inf1.24xlarge,,,,,,L80s v2,,
,L8s,inf1.2xlarge,,,,,,L8s,,
,M128ms,inf1.6xlarge,,,,,,M128ms,,
,M128s,inf1.xlarge,,,,,,M128s,,
,M16ms,m1.large,,,,,,M16ms,,
,M16s,m1.small,,,,,,M16s,,
,M208ms v2,m1.xlarge,,,,,,M208ms v2,,
,M208s v2,m2.2xlarge,,,,,,M208s v2,,
,M32ls,m2.4xlarge,,,,,,M32ls,,
,M32ms,m2.xlarge,,,,,,M32ms,,
,M32s,m3.2xlarge,,,,,,M32s,,
,M32ts,m3.medium,,,,,,M32ts,,
,M416s v2,m3.xlarge,,,,,,M416s v2,,
,M64ls,m4.10xlarge,,,,,,M64ls,,
,M64ms,m4.16xlarge,,,,,,M64ms,,
,M64s,m4.2xlarge,,,,,,M64s,,
,M8ms,m4.large,,,,,,M8ms,,
,NC12s v3,m4.xlarge,,,,,,NC12s v3,,
,NC24,m5.12xlarge,,,,,,NC24,,
,NC24R,m5.16xlarge,,,,,,NC24R,,
,NC24rs v3,m5.24xlarge,,,,,,NC24rs v3,,
,NC24s v2,m5.2xlarge,,,,,,NC24s v2,,
,NC24s v3,m5.4xlarge,,,,,,NC24s v3,,
,ND12s,m5.8xlarge,,,,,,ND12s,,
,ND24rs,m5.large,,,,,,ND24rs,,
,ND40rs v2,m5.metal,,,,,,ND40rs v2,,
,ND40s v2,m5.xlarge,,,,,,ND40s v2,,
,ND6s,m5a.12xlarge,,,,,,ND6s,,
,NV12,m5a.16xlarge,,,,,,NV12,,
,NV12s v3,m5a.24xlarge,,,,,,NV12s v3,,
,NV24,m5a.2xlarge,,,,,,NV24,,
,NV24s v3,m5a.4xlarge,,,,,,NV24s v3,,
,NV48s v3,m5a.8xlarge,,,,,,NV48s v3,,
,NV6,m5a.large,,,,,,NV6,,
,NV6s v2,m5a.xlarge,,,,,,NV6s v2,,
,PB12s,m5ad.12xlarge,,,,,,PB12s,,
,Type 2,m5ad.16xlarge,,,,,,Type 2,,
,Type 2 HM,m5ad.24xlarge,,,,,,Type 2 HM,,
,,m5ad.2xlarge,,,,,,,,
,,m5ad.4xlarge,,,,,,,,
,,m5ad.8xlarge,,,,,,,,
,,m5ad.xlarge,,,,,,,,
,,m5d.12xlarge,,,,,,,,
,,m5d.16xlarge,,,,,,,,
,,m5d.24xlarge,,,,,,,,
,,m5d.2xlarge,,,,,,,,
,,m5d.4xlarge,,,,,,,,
,,m5d.8xlarge,,,,,,,,
,,m5d.large,,,,,,,,
,,m5d.metal,,,,,,,,
,,m5d.xlarge,,,,,,,,
,,m5dn.12xlarge,,,,,,,,
,,m5dn.16xlarge,,,,,,,,
,,m5dn.24xlarge,,,,,,,,
,,m5dn.2xlarge,,,,,,,,
,,m5dn.4xlarge,,,,,,,,
,,m5dn.large,,,,,,,,
,,m5dn.xlarge,,,,,,,,
,,m5n.12xlarge,,,,,,,,
,,m5n.16xlarge,,,,,,,,
,,m5n.24xlarge,,,,,,,,
,,m5n.2xlarge,,,,,,,,
,,m5n.4xlarge,,,,,,,,
,,m5n.8xlarge,,,,,,,,
,,m5n.large,,,,,,,,
,,m5n.xlarge,,,,,,,,
,,m6g.12xlarge,,,,,,,,
,,m6g.16xlarge,,,,,,,,
,,m6g.2xlarge,,,,,,,,
,,m6g.8xlarge,,,,,,,,
,,m6g.large,,,,,,,,
,,m6g.medium,,,,,,,,
,,m6g.metal,,,,,,,,
,,m6g.xlarge,,,,,,,,
,,m6gd.12xlarge,,,,,,,,
,,m6gd.2xlarge,,,,,,,,
,,m6gd.4xlarge,,,,,,,,
,,m6gd.8xlarge,,,,,,,,
,,m6gd.medium,,,,,,,,
,,m6gd.xlarge,,,,,,,,
,,p2.8xlarge,,,,,,,,
,,p2.xlarge,,,,,,,,
,,p3.2xlarge,,,,,,,,
,,p3.8xlarge,,,,,,,,
,,r3.2xlarge,,,,,,,,
,,r3.4xlarge,,,,,,,,
,,r3.8xlarge,,,,,,,,
,,r3.large,,,,,,,,
,,r3.xlarge,,,,,,,,
,,r4.16xlarge,,,,,,,,
,,r4.2xlarge,,,,,,,,
,,r4.4xlarge,,,,,,,,
,,r4.8xlarge,,,,,,,,
,,r4.large,,,,,,,,
,,r4.xlarge,,,,,,,,
,,r5.12xlarge,,,,,,,,
,,r5.16xlarge,,,,,,,,
,,r5.24xlarge,,,,,,,,
,,r5.2xlarge,,,,,,,,
,,r5.4xlarge,,,,,,,,
,,r5.8xlarge,,,,,,,,
,,r5.large,,,,,,,,
,,r5.metal,,,,,,,,
,,r5.xlarge,,,,,,,,
,,r5a.12xlarge,,,,,,,,
,,r5a.16xlarge,,,,,,,,
,,r5a.24xlarge,,,,,,,,
,,r5a.2xlarge,,,,,,,,
,,r5a.4xlarge,,,,,,,,
,,r5a.8xlarge,,,,,,,,
,,r5a.large,,,,,,,,
,,r5a.xlarge,,,,,,,,
,,r5ad.12xlarge,,,,,,,,
,,r5ad.16xlarge,,,,,,,,
,,r5ad.24xlarge,,,,,,,,
,,r5ad.4xlarge,,,,,,,,
,,r5ad.8xlarge,,,,,,,,
,,r5ad.large,,,,,,,,
,,r5ad.xlarge,,,,,,,,
,,r5d.12xlarge,,,,,,,,
,,r5d.16xlarge,,,,,,,,
,,r5d.24xlarge,,,,,,,,
,,r5d.2xlarge,,,,,,,,
,,r5d.4xlarge,,,,,,,,
,,r5d.8xlarge,,,,,,,,
,,r5d.large,,,,,,,,
,,r5d.metal,,,,,,,,
,,r5d.xlarge,,,,,,,,
,,r5dn.12xlarge,,,,,,,,
,,r5dn.24xlarge,,,,,,,,
,,r5dn.4xlarge,,,,,,,,
,,r5dn.8xlarge,,,,,,,,
,,r5dn.large,,,,,,,,
,,r5dn.metal,,,,,,,,
,,r5dn.xlarge,,,,,,,,
,,r5n.12xlarge,,,,,,,,
,,r5n.16xlarge,,,,,,,,
,,r5n.24xlarge,,,,,,,,
,,r5n.2xlarge,,,,,,,,
,,r5n.4xlarge,,,,,,,,
,,r5n.large,,,,,,,,
,,r5n.xlarge,,,,,,,,
,,r6g.12xlarge,,,,,,,,
,,r6g.16xlarge,,,,,,,,
,,r6g.2xlarge,,,,,,,,
,,r6g.4xlarge,,,,,,,,
,,r6g.8xlarge,,,,,,,,
,,r6g.large,,,,,,,,
,,r6g.medium,,,,,,,,
,,r6g.metal,,,,,,,,
,,r6gd.2xlarge,,,,,,,,
,,r6gd.4xlarge,,,,,,,,
,,r6gd.8xlarge,,,,,,,,
,,r6gd.medium,,,,,,,,
,,r6gd.metal,,,,,,,,
,,t2.2xlarge,,,,,,,,
,,t2.large,,,,,,,,
,,t2.medium,,,,,,,,
,,t2.micro,,,,,,,,
,,t2.nano,,,,,,,,
,,t2.small,,,,,,,,
,,t2.xlarge,,,,,,,,
,,t3.2xlarge,,,,,,,,
,,t3.large,,,,,,,,
,,t3.medium,,,,,,,,
,,t3.micro,,,,,,,,
,,t3.small,,,,,,,,
,,t3.xlarge,,,,,,,,
,,t3a.2xlarge,,,,,,,,
,,t3a.large,,,,,,,,
,,t3a.medium,,,,,,,,
,,t3a.micro,,,,,,,,
,,t3a.nano,,,,,,,,
,,t3a.small,,,,,,,,
,,t3a.xlarge,,,,,,,,
,,t4g.large,,,,,,,,
,,t4g.micro,,,,,,,,
,,t4g.small,,,,,,,,
,,x1.16xlarge,,,,,,,,
,,x1.32xlarge,,,,,,,,
,,x1e.16xlarge,,,,,,,,
,,x1e.2xlarge,,,,,,,,
,,x1e.32xlarge,,,,,,,,
,,x1e.4xlarge,,,,,,,,
,,x1e.8xlarge,,,,,,,,
,,x1e.xlarge,,,,,,,,
,,z1d.12xlarge,,,,,,,,
,,z1d.2xlarge,,,,,,,,
,,z1d.3xlarge,,,,,,,,
,,z1d.6xlarge,,,,,,,,
,,z1d.large,,,,,,,,
,,z1d.metal,,,,,,,,
,,z1d.xlarge,,,,,,,,
,,t2.large,,,,,,,,
,,t2.medium,,,,,,,,
,,t2.micro,,,,,,,,
,,t2.nano,,,,,,,,
,,t2.small,,,,,,,,
,,t2.xlarge,,,,,,,,
,,t3.2xlarge,,,,,,,,
,,t3.large,,,,,,,,
,,t3.medium,,,,,,,,
,,t3.micro,,,,,,,,
,,t3.small,,,,,,,,
,,t3.xlarge,,,,,,,,
,,t3a.2xlarge,,,,,,,,
,,t3a.large,,,,,,,,
,,t3a.medium,,,,,,,,
,,t3a.micro,,,,,,,,
,,t3a.nano,,,,,,,,
,,t3a.small,,,,,,,,
,,t3a.xlarge,,,,,,,,
,,t4g.large,,,,,,,,
,,t4g.micro,,,,,,,,
,,t4g.small,,,,,,,,
,,x1.16xlarge,,,,,,,,
,,x1.32xlarge,,,,,,,,
,,x1e.16xlarge,,,,,,,,
,,x1e.2xlarge,,,,,,,,
,,x1e.32xlarge,,,,,,,,
,,x1e.4xlarge,,,,,,,,
,,x1e.8xlarge,,,,,,,,
,,x1e.xlarge,,,,,,,,
,,z1d.12xlarge,,,,,,,,
,,z1d.2xlarge,,,,,,,,
,,z1d.3xlarge,,,,,,,,
,,z1d.6xlarge,,,,,,,,
,,z1d.large,,,,,,,,
,,z1d.metal,,,,,,,,
,,z1d.xlarge,,,,,,,,
